[14/11/2025, 5:25:53 PM] - [NETWORK] - [97mFri Nov 14 2025 17:25:53 GMT+0530 (India Standard Time) | Request: POST | https://dev.roost.ai//api/license/verify[39m
[97m        | {"license_key":"1a0223b6-9173-450a-b7a4-297636734467","use_type":"cli","device_id":"35f120ed-1687-55e6-a154-8766f575d23d","source_ip":"223.181.13.37"} | {"Accept":"application/json, text/plain, */*","Content-Type":"application/json","User-Agent":"roostgpt/latest cli https://dev.roost.ai//api  unit"}[39m
[14/11/2025, 5:25:53 PM] - [NETWORK] - [97mFri Nov 14 2025 17:25:53 GMT+0530 (India Standard Time) | Response: 201 | {"not_found":false,"valid":true,"thirdparty_app_id":"zbio","invocations_limit_reached":false,"is_trial":0,"created_on":"2023-06-29T13:41:20.000Z","expires_on":null,"deleted":0,"max_invocations":60000,"current_invocations":33535,"config":{"number_of_files":12,"number_of_apis":20,"number_of_functions":18},"last_invoked_on":"2025-11-14T11:46:23.000Z","gpt_tool_stack":"{\"test_type_tools\":[\"unit\",\"api-spec-test\",\"integration\",\"functional-source\",\"functional\",\"ui-test\",\"artillery-api-spec\"],\"language_tools\":[\"java\",\"csharp\",\"go\",\"python\",\"cpp\"],\"api_tools\":[\"swagger\",\"postman\",\"raml\"],\"integration_tools\":[\"jira\",\"azure\"],\"mail_tools\":[\"email\",\"slack\",\"msTeams\"]}","max_members":1}[39m
[14/11/2025, 5:25:54 PM] - [NETWORK] - [97mFri Nov 14 2025 17:25:54 GMT+0530 (India Standard Time) | Request: POST | https://dev.roost.ai//api/license/invoke[39m
[97m        | {"license_key":"1a0223b6-9173-450a-b7a4-297636734467","use_type":"cli","device_id":"35f120ed-1687-55e6-a154-8766f575d23d","source_ip":"223.181.13.37"} | {"Accept":"application/json, text/plain, */*","Content-Type":"application/json","User-Agent":"roostgpt/latest cli https://dev.roost.ai//api zbio unit"}[39m
[14/11/2025, 5:25:54 PM] - [NETWORK] - [97mFri Nov 14 2025 17:25:54 GMT+0530 (India Standard Time) | Response: 201 | {"not_found":false,"valid":true,"thirdparty_app_id":"zbio","invocations_limit_reached":false,"is_trial":0,"created_on":"2023-06-29T13:41:20.000Z","expires_on":null,"deleted":0,"max_invocations":60000,"current_invocations":33536,"config":{"number_of_files":12,"number_of_apis":20,"number_of_functions":18},"last_invoked_on":"2025-11-14T11:55:54.889Z","gpt_tool_stack":"{\"test_type_tools\":[\"unit\",\"api-spec-test\",\"integration\",\"functional-source\",\"functional\",\"ui-test\",\"artillery-api-spec\"],\"language_tools\":[\"java\",\"csharp\",\"go\",\"python\",\"cpp\"],\"api_tools\":[\"swagger\",\"postman\",\"raml\"],\"integration_tools\":[\"jira\",\"azure\"],\"mail_tools\":[\"email\",\"slack\",\"msTeams\"]}","max_members":1}[39m
[14/11/2025, 5:26:04 PM] - [NETWORK] - [97mFri Nov 14 2025 17:26:04 GMT+0530 (India Standard Time) | Request: POST | https://dev.roost.ai//api/test/getAiModelResponse[39m
[97m        | {"ai_model_type":"claude_ai","ai_model":"claude-haiku-4-5-20251001","ai_temperature":0.3,"system_prompt_hash":"fd79282333","user_prompt_hash":"e199641b39","license_key":"1a0223b6-9173-450a-b7a4-297636734467"} | {"Accept":"application/json, text/plain, */*"}[39m
[14/11/2025, 5:26:04 PM] - [NETWORK] - [97mFri Nov 14 2025 17:26:04 GMT+0530 (India Standard Time) | Response Error: Error: 404 | {"code":404,"timestamp":"2025-11-14T11:56:04.894Z","path":"/test/getAiModelResponse","method":"POST","message":"Response doesn't exist for given user and system prompt."}[39m
[14/11/2025, 5:26:18 PM] - [NETWORK] - [97mFri Nov 14 2025 17:26:18 GMT+0530 (India Standard Time) | Request: POST | https://dev.roost.ai//api/test/aiModelResponse[39m
[97m        | {"ai_model_type":"claude_ai","ai_model":"claude-haiku-4-5-20251001","ai_temperature":0.3,"system_prompt_hash":"fd79282333","system_prompt_content":"You are an experienced java programmer.","user_prompt_hash":"e199641b39","user_prompt_content":"\nDESCRIPTION:\n  - Write JUnit test scenarios for the below-provided method \n\nwith its class name as HelloController. Do not write test code to validate.\n  - Generate all test scenarios completely in english language, including all section headers and labels.\n  - Follow the natural text direction and formatting conventions of english (e.g., right-to-left for Hebrew/Arabic, left-to-right for English/Spanish, etc.).\n  \"\"\"\n  public String hello() {\n    return \"Hello, Spring Boot!\";\n} \n  \"\"\"\n\nINSTRUCTIONS:  \n- Use these details to implement better scenarios\n  - The following is a list of imports\nimport org.springframework.web.bind.annotation.GetMapping;\nimport org.springframework.web.bind.annotation.RestController;\n\n   \n  The methods defined in the HelloController class are:\n\npublic String hello() {\n    return \"Hello, Spring Boot!\";\n}\n\npublic String apiHello() {\n    return \"Welcome to Spring Boot REST API\";\n}\n   \n  \nTASK:\n  - Generate Test Scenarios completely in english language using the format specified below:\n - Translate ALL section headers, labels, and terms (including Scenario, Details, TestName, Description, Execution, Arrange, Act, Assert, Validation) into english:\n - IMPORTANT: Format the output according to english writing conventions:\n   * For RTL languages (Hebrew, Arabic, Urdu, etc.): Use right-to-left text direction and appropriate formatting\n   * For LTR languages (English, Spanish, French, etc.): Use left-to-right text direction\n   * For languages with specific formatting rules (Chinese, Japanese, etc.): Follow their traditional formatting conventions\n \n \n  \"\"\" \n  Scenario [Number]: [Brief Description of the Test]\n\n  Details:  \n    TestName: testScenarioInCamelCase(ensure to keep the camelCase format without the Test prefix).\n    Description: An explanation of what the test is meant to check, including the specific functionality and the target scenario. \n  Execution:\n    Arrange: Set up any required data, mocks, or test doubles. \n    Act: Invoke the target method with the appropriate parameters or conditions. \n    Assert: Use JUnit assertions to compare actual results against expected outcomes.\n  Validation: \n    Clarify what the assertion aims to verify and the reason behind the expected result. \n    Elaborate on the significance of the test in the context of application behavior or business logic.\n  \"\"\" \nReplace testScenarioInCamelCase with an actual test method name, ensure to keep the camelCase format without the Test prefix. \nReplace [Number] with the scenario number and [Brief Description of the Test] with the specifics of what the test is about.\n\n\n - Generate as many test scenarios as possible for the given method, ensuring to cover edge cases and error handling.\n - hello is the method you need to create test scenarios for.\n\n  Ensure that generated test scenarios accurately reflect the given method parameters and return types.\n \n \n NOTE: \n  1. While generating test scenarios for the mentioned method, use only existing public methods, public fields, import statements that are provided above. Do not assume the existence of any getter or setter methods that are not explicitly provided. If a method is not present in the entity, do not reference it in the test scenario.\n  2. Write scenarios quoted inside triple backticks.\n  3. IMPORTANT: Translate ALL section headers, labels, and structural terms into english. Only keep actual Java method names and technical code elements in their original form.\n  4. The entire output should be in english including all descriptive text and section labels.\n  5. CRITICAL: Follow the natural reading direction of english:\n  - For Hebrew/Arabic/Persian/Urdu: Format text from right-to-left\n  - For Chinese/Japanese: Consider vertical or horizontal formatting as appropriate\n  - For English/European languages: Use standard left-to-right formatting\n  - Maintain proper punctuation and spacing conventions for the chosen language\n  6. When formatting RTL languages, ensure proper alignment and text flow while keeping code elements (like method names) in their standard format.\n","response":"Scenario 1: Verify hello() Method Returns Expected String\n\nDetails:\n  TestName: helloReturnsExpectedString\n  Description: This test verifies that the hello() method in the HelloController class returns the exact string \"Hello, Spring Boot!\". This is a fundamental test to ensure the method produces the correct output as designed.\n\nExecution:\n  Arrange: Create an instance of HelloController class to access the hello() method.\n  Act: Invoke the hello() method and capture the returned string value.\n  Assert: Use assertEquals() to verify that the returned value matches the expected string \"Hello, Spring Boot!\".\n\nValidation:\n  This assertion confirms that the hello() method returns the correct hardcoded string. The test ensures that the basic functionality of the method is working as intended and that no unexpected modifications have been made to the return value. This is critical for validating the core behavior of the REST endpoint.\n","license_key":"1a0223b6-9173-450a-b7a4-297636734467"} | {"Accept":"application/json, text/plain, */*"}[39m
